date,visitors,temperature,precipitation,known_reserved,search_index
2026-04-22,16110,21.9,0.0,9505,102
2026-04-23,16322,21.8,0.0,9793,109
2026-04-24,16531,21.8,0.0,10084,98
2026-04-25,20940,21.8,0.0,12983,112
2026-04-26,21147,21.8,0.0,11419,119
2026-04-27,17153,21.7,0.0,9434,101
2026-04-28,17357,21.7,0.0,9720,108
2026-04-29,15459,21.6,11.2,8812,93
2026-04-30,17760,21.5,0.0,10301,104
2026-05-01,17959,21.5,0.0,10596,111
2026-05-02,22357,21.4,0.0,13414,106
2026-05-03,20452,21.3,8.8,12476,110
2026-05-04,18546,21.2,0.0,11499,114
2026-05-05,17038,21.1,0.0,9201,99
2026-05-06,17228,21.0,0.0,9475,107
2026-05-07,15317,20.9,6.4,8578,111
2026-05-08,17603,20.8,0.0,10034,102
2026-05-09,21987,20.7,0.0,12752,116
2026-05-10,22170,20.6,0.0,13080,105
2026-05-11,16050,20.5,4.0,9630,102
2026-05-12,18328,20.4,0.0,11180,113
2026-05-13,18504,20.3,0.0,11472,101
2026-05-14,18678,20.2,0.0,10086,108
2026-05-15,18850,20.1,0.0,10368,115
2026-05-16,23220,20.0,0.0,13003,110
2026-05-17,21687,19.8,0.0,12362,115
2026-05-18,17652,19.7,0.0,10238,96
2026-05-19,17815,19.6,0.0,10511,104
2026-05-20,17976,19.5,0.0,10786,111
2026-05-21,18134,19.4,0.0,11062,99
2026-05-22,16191,19.2,11.2,10038,103
2026-05-23,22644,19.1,0.0,12228,121
2026-05-24,22796,19.0,0.0,12538,109
2026-05-25,18745,18.9,0.0,10497,109
2026-05-26,16792,18.8,8.8,9571,113
2026-05-27,19036,18.7,0.0,11041,105
2026-05-28,19179,18.6,0.0,11316,112
2026-05-29,17618,18.5,0.0,10571,97
2026-05-30,19856,18.4,6.4,12112,108
2026-05-31,22091,18.3,0.0,13696,119
2026-06-01,18024,18.2,0.0,9733,100
2026-06-02,18154,18.2,0.0,9985,107
2026-06-03,16182,18.1,4.0,9062,111
2026-06-04,18408,18.0,0.0,10493,103
2026-06-05,18531,18.0,0.0,10748,110
2026-06-06,22852,17.9,0.0,13483,105
2026-06-07,22971,17.9,0.0,13783,112
2026-06-08,18887,17.8,0.0,11521,112
2026-06-09,19002,17.8,0.0,11781,101
2026-06-10,19114,17.7,0.0,10322,108
2026-06-11,17523,17.7,0.0,9638,112
2026-06-12,17631,17.7,0.0,9873,100
2026-06-13,21936,17.7,0.0,12504,114
2026-06-14,19939,17.7,11.2,11565,118
2026-06-15,17940,17.7,0.0,10585,103
2026-06-16,18038,17.7,0.0,10823,110
2026-06-17,18135,17.8,0.0,11062,98
2026-06-18,16129,17.8,8.8,10000,102
2026-06-19,18322,17.8,0.0,9894,113
2026-06-20,22612,17.9,0.0,12437,107
2026-06-21,22701,17.9,0.0,12713,115
2026-06-22,16487,18.0,6.4,9398,112
2026-06-23,16972,18.1,0.0,9844,100
2026-06-24,17054,18.2,0.0,10062,108
2026-06-25,17135,18.3,0.0,10281,96
2026-06-26,15114,18.4,4.0,9220,99
2026-06-27,21491,18.5,0.0,13324,117
2026-06-28,21567,18.6,0.0,11646,105
2026-06-29,23241,18.7,0.0,12783,114
2026-06-30,23313,18.9,0.0,13055,122
2026-07-01,23383,19.0,0.0,13328,110
2026-07-02,23452,19.2,0.0,13602,117
2026-07-03,23520,19.3,0.0,13877,124
2026-07-04,21986,19.5,0.0,13192,109
2026-07-05,22050,19.7,0.0,13451,117
2026-07-06,16214,19.9,0.0,10053,95
2026-07-07,14176,20.0,11.2,7655,99
2026-07-08,16336,20.2,0.0,8985,109
2026-07-09,16396,20.5,0.0,9182,97
2026-07-10,16454,20.7,0.0,9379,105
2026-07-11,18611,20.9,8.8,10794,115
2026-07-12,20768,21.1,0.0,12253,106
2026-07-13,16623,21.4,0.0,9974,107
2026-07-14,16677,21.6,0.0,10173,95
2026-07-15,14631,21.8,6.4,9071,99
2026-07-16,16783,22.1,0.0,9063,109
2026-07-17,16835,22.3,0.0,9259,97
2026-07-18,19386,22.6,0.0,10856,108
2026-07-19,17337,22.9,4.0,9882,112
2026-07-20,15287,23.2,0.0,8866,97
2026-07-21,15336,23.4,0.0,9048,104
2026-07-22,15385,23.7,0.0,9231,111
2026-07-23,15434,24.0,0.0,9415,99
2026-07-24,15482,24.3,0.0,9599,106
2026-07-25,19730,24.6,0.0,10654,101
2026-07-26,19778,24.9,0.0,10878,108
2026-07-27,15625,25.1,0.0,8750,108
2026-07-28,15673,25.4,0.0,8934,96
2026-07-29,15721,25.7,0.0,9118,103
2026-07-30,11968,26.0,11.2,7061,104
2026-07-31,14116,26.3,0.0,8470,96
2026-08-01,18364,26.6,0.0,11202,110
2026-08-02,18412,26.9,0.0,11415,98
2026-08-03,12160,27.2,8.8,6566,95
2026-08-04,14309,27.5,0.0,7870,105
2026-08-05,14358,27.8,0.0,8040,93
2026-08-06,14407,28.1,0.0,8212,100
2026-08-07,12357,28.4,6.4,7167,104
2026-08-08,18708,28.7,0.0,11038,102
2026-08-09,18759,29.0,0.0,11255,109
2026-08-10,14612,29.3,0.0,8913,110
2026-08-11,12564,29.6,4.0,7790,94
2026-08-12,13018,29.8,0.0,7030,102
2026-08-13,13072,30.1,0.0,7190,90
2026-08-14,13128,30.4,0.0,7352,97
2026-08-15,17384,30.6,0.0,9909,111
2026-08-16,17442,30.9,0.0,10116,99
2026-08-17,13301,31.2,0.0,7848,99
2026-08-18,13360,31.4,0.0,8016,107
2026-08-19,13421,31.6,0.0,8187,95
2026-08-20,13484,31.9,0.0,8360,102
2026-08-21,13547,32.1,0.0,7315,90
2026-08-22,15712,32.3,11.2,8642,100
2026-08-23,17878,32.6,0.0,10012,111
2026-08-24,12046,32.8,0.0,6866,89
2026-08-25,12116,33.0,0.0,7027,97
2026-08-26,10087,33.2,8.8,5951,100
2026-08-27,12259,33.4,0.0,7355,92
2026-08-28,12333,33.5,0.0,7523,99
2026-08-29,16609,33.7,0.0,10298,113
